brand,class,category,item,manufacturer,prev_yr_sales_cnt,curr_yr_sales_cnt,sales_cnt_diff,prev_yr_sales_amt,curr_yr_sales_amt,sales_amt_diff
corpnameless #9,furniture,Home,19628,barantipri,38066,9370,-28696,1271003.54,404776.90,-866226.64
importobrand #9,bedding,Home,9448,callyableation,38391,9707,-28684,1221243.89,398784.66,-822459.23
importobrand #5,bedding,Home,11734,n stbarcally,38642,9965,-28677,1358713.89,410411.77,-948302.12
maxibrand #3,mattresses,Home,21172,oughtprin st,37795,9129,-28666,1298357.38,339180.24,-959177.14
importobrand #2,bedding,Home,16981,eingpriought,37337,8678,-28659,1302788.58,400548.26,-902240.32
edu packnameless #1,glassware,Home,3010,n stablepri,37580,8928,-28652,1464781.09,456792.18,-1007988.91
importobrand #5,bedding,Home,13844,bareing,37527,8888,-28639,1299933.40,381408.21,-918525.19
univnameless #2,flatware,Home,721,oughtpriought,37939,9300,-28639,1275575.27,478056.61,-797518.66
importonameless #7,paint,Home,17596,n stbarable,37319,8681,-28638,1296988.63,347490.34,-949498.29
namelessbrand #9,lighting,Home,6158,barantiought,37851,9258,-28593,1399275.45,455298.59,-943976.86
corpnameless #1,furniture,Home,16790,prieing,36782,8199,-28583,1118005.05,356014.52,-761990.53
maxibrand #6,mattresses,Home,23635,callyese,38009,9450,-28559,1284215.23,442659.89,-841555.34
amalgbrand #9,bathroom,Home,17918,antiation,38569,10011,-28558,1307156.25,466636.83,-840519.42
brandbrand #4,decor,Home,5383,oughtableanti,36881,8329,-28552,1281384.45,360828.74,-920555.71
importonameless #2,paint,Home,7471,eingn stought,37693,9160,-28533,1293229.99,392729.22,-900500.77
exportibrand #1,kids,Home,14740,barn stcally,37394,8862,-28532,1234127.70,377412.61,-856715.09
namelessbrand #4,lighting,Home,6733,priesepri,38643,10124,-28519,1395647.27,425521.99,-970125.28
brandbrand #3,decor,Home,1052,oughtoughtn st,38404,9888,-28516,1399530.20,483748.89,-915781.31
amalgbrand #10,bathroom,Home,20809,n st,39559,11044,-28515,1271827.08,433201.13,-838625.95
importobrand #2,bedding,Home,17641,eseableable,37449,8937,-28512,1302626.48,410472.71,-892153.77
maxibrand #4,mattresses,Home,22723,eingoughtcally,37785,9277,-28508,1395821.79,449994.21,-945827.58
