ss_store_sk,s_company_name,i_brand,i_category,month,year,total_month_sales,prev_month_deviation,current_month_deviation,next_month_deviation
31,Unknown,amalgunivamalg #12,Electronics,11,2001,551.53,45.6668875683075,259.5098156376634,42.42071984964204
7,Unknown,importounivamalg #7,Electronics,11,2001,548.54,-19.008129816386706,257.47731308753805,-65.64948923899053
10,Unknown,corpunivamalg #14,Electronics,12,2001,874.42,20.293068740356222,257.4130654704121,
14,Unknown,scholarunivamalg #8,Electronics,11,2001,1196.40,45.634083217200875,257.2765279713319,115.39617758311765
31,Unknown,amalgamalgamalg #7,Electronics,12,2001,611.60,89.19211496950096,256.80994639164567,
28,Unknown,edu packamalgamalg #15,Electronics,11,2001,1806.93,-20.53730302561859,256.587520597822,29.426352713649983
13,Unknown,brandunivamalg #12,Electronics,11,2001,362.52,28.054826480023316,252.40594925634295,
7,Unknown,scholarunivamalg #12,Electronics,11,2001,945.93,54.5174929145565,251.59782558193555,75.65581006365282
31,Unknown,corpunivamalg #13,Electronics,12,2001,2383.77,120.54962727258231,250.89541674691213,
20,Unknown,importounivamalg #11,Electronics,12,2001,971.65,48.31420124927446,250.65696679528315,
28,Unknown,exportiamalgamalg #16,Electronics,11,2001,1004.46,96.12130436171728,250.09686573276673,118.85323752290937
13,Unknown,exportiunivamalg #9,Electronics,12,2001,646.38,34.150448933276905,249.26558658513525,
14,Unknown,namelessbrand #6,Home,12,2001,1752.89,76.37234183066967,247.29031831990488,
14,Unknown,corpamalgamalg #1,Electronics,12,2001,802.74,16.490828416230226,247.2146428146616,
8,Unknown,amalgunivamalg #2,Electronics,12,2001,360.92,-47.73668153391574,246.80781211213701,
22,Unknown,importoamalgamalg #14,Electronics,12,2001,1846.48,66.8141592920354,246.19769011549423,
10,Unknown,amalgamalgamalg #2,Electronics,12,2001,1626.40,63.4105854561706,246.1235608333866,
13,Unknown,importounivamalg #7,Electronics,11,2001,278.40,-48.542301237023686,246.1179834649095,-38.223410206999446
22,Unknown,importounivamalg #7,Electronics,10,2001,390.33,-77.67478600099946,246.0762819789467,42.68453887447005
22,Unknown,corpunivamalg #1,Electronics,12,2001,1480.71,72.34415402348982,245.9710582884202,
10,Unknown,amalgamalgamalg #9,Electronics,11,2001,1303.18,-20.92492301157481,245.96474461081024,70.00106190931294
8,Unknown,edu packunivamalg #5,Electronics,11,2001,1380.87,18.443840096102505,245.58612520021356,90.44063667912442
7,Unknown,scholarunivamalg #15,Electronics,12,2001,1472.46,107.86218028260389,245.28247687795198,
10,Unknown,corpunivamalg #17,Electronics,12,2001,1308.57,114.8672791960497,245.0771668355115,
31,Unknown,maxiunivamalg #9,Electronics,12,2001,317.53,-31.260857548957677,244.75975205306372,
4,Unknown,exportiunivamalg #4,Electronics,9,2001,617.91,-10.275055327221002,244.74530880958133,72.55955812612747
19,Unknown,maxiunivamalg #4,Electronics,10,2001,433.29,15.358633022054443,244.35922908801908,-16.765348698589307
25,Unknown,namelessunivamalg #1,Electronics,12,2001,882.06,40.330454774457685,244.24418315865654,
32,Unknown,corpunivamalg #16,Electronics,11,2001,1239.70,62.49586421195594,244.19936927786247,-20.27357514871485
31,Unknown,namelessunivamalg #12,Electronics,12,2001,894.58,94.04583176280434,242.90642628522514,
31,Unknown,amalgunivamalg #4,Electronics,12,2001,2952.78,61.49473702536269,242.70858218374522,
19,Unknown,edu packamalgamalg #4,Electronics,11,2001,1973.98,10.267538412942919,241.65646215822107,123.94994526344941
1,Unknown,importounivamalg #1,Electronics,12,2001,380.94,114.8727521724245,241.58338360206727,
8,Unknown,edu packamalgamalg #6,Electronics,12,2001,684.42,131.71026859787668,241.53972828324407,
4,Unknown,namelessunivamalg #8,Electronics,12,2001,1782.89,52.65695254617656,240.51966035063148,
8,Unknown,namelessunivamalg #2,Electronics,11,2001,1100.90,-43.4439406430338,240.34418796372634,120.30708985985163
19,Unknown,scholarmaxi #4,Books,12,2001,2193.55,74.30503691567411,240.11778903926216,
28,Unknown,scholaramalgamalg #10,Electronics,11,2001,1290.59,151.75688300751352,239.64533376610274,
14,Unknown,brandunivamalg #10,Electronics,12,2001,1379.52,15.07923983858969,239.2616851351268,
4,Unknown,importounivamalg #11,Electronics,12,2001,956.88,-15.0776753786324,239.0656512713604,
1,Unknown,amalgamalgamalg #9,Electronics,12,2001,1349.43,24.431433231567066,238.61319058174067,
32,Unknown,edu packamalgamalg #6,Electronics,12,2001,1079.48,58.12785554646758,237.42361331798222,
28,Unknown,maxiunivamalg #2,Electronics,11,2001,1491.77,-19.523224527633527,237.29339855143462,
16,Unknown,scholarunivamalg #4,Electronics,12,2001,1936.79,74.674132190797,236.8686832085134,
10,Unknown,corpunivamalg #5,Electronics,12,2001,281.12,95.16480889340467,236.03681678271525,
28,Unknown,corpunivamalg #5,Electronics,11,2001,381.90,78.56299804265115,235.96023722774885,80.24323908246522
31,Unknown,corpunivamalg #14,Electronics,11,2001,997.82,-70.6101977329021,235.8805692149311,121.79858678059195
10,Unknown,importoamalgamalg #17,Electronics,12,2001,1238.19,68.60781111284301,235.6460805508305,
31,Unknown,exportiamalgamalg #12,Electronics,12,2001,2448.83,91.28740120195023,235.299614677622,
13,Unknown,scholaramalgamalg #9,Electronics,11,2001,389.88,-16.282303678010067,235.04265491703381,101.74916408862222
2,Unknown,univamalgamalg #12,Electronics,12,2001,302.59,79.16184883919684,234.66623767055103,
13,Unknown,edu packamalgamalg #14,Electronics,12,2001,984.51,150.2132219206339,234.41133148674817,
