month,cc_call_center_id,i_brand,i_category,monthly_sales,avg_monthly_sales,sales_deviation_prev_month,sales_deviation_next_month
10,AAAAAAAACAAAAAAA,corpnameless #2,Home,1817.60,2022.2875,-890.33,-2953.41
9,AAAAAAAACAAAAAAA,edu packamalgamalg #5,Electronics,1616.33,1467.7416666666666,-933.90,-770.55
10,AAAAAAAACAAAAAAA,amalgcorp #7,Jewelry,4870.08,4422.230833333333,-1266.99,-4816.70
8,AAAAAAAABAAAAAAA,edu packamalgamalg #7,Electronics,447.24,497.6933333333333,-127.44,23.80
9,AAAAAAAACAAAAAAA,scholarnameless #2,Home,2373.48,2641.3275,-1870.41,-2161.38
9,AAAAAAAACAAAAAAA,univamalgamalg #6,Electronics,1378.35,1533.9641666666666,-1061.31,-814.22
9,AAAAAAAACAAAAAAA,edu packnameless #10,Home,2657.55,2412.0716666666667,542.09,-1002.75
3,AAAAAAAACAAAAAAA,exportiunivamalg #11,Electronics,558.62,621.9633333333334,203.03,344.45
10,AAAAAAAACAAAAAAA,amalgamalgamalg #10,Electronics,2554.95,2845.6358333333333,-1126.97,-3004.27
9,AAAAAAAAEAAAAAAA,amalgbrand #5,Jewelry,5300.08,4808.5408333333335,-642.45,-989.03
9,AAAAAAAAEAAAAAAA,univmaxi #10,Sports,1274.79,1420.2375,-378.48,-498.29
9,AAAAAAAAEAAAAAAA,maxibrand #5,Home,8025.75,7280.0216666666665,-808.16,-1353.50
10,AAAAAAAAEAAAAAAA,exportinameless #4,Sports,1843.78,1672.4475,540.09,-2375.70
9,AAAAAAAABAAAAAAA,corpnameless #2,Sports,2447.56,2220.065,-622.64,2.95
9,AAAAAAAABAAAAAAA,brandunivamalg #3,Electronics,1775.21,1978.185,-1708.55,-523.94
8,AAAAAAAABAAAAAAA,edu packamalgamalg #3,Electronics,2820.60,3143.221666666667,1457.77,-1181.90
8,AAAAAAAABAAAAAAA,namelessunivamalg #15,Electronics,2936.86,2663.4791666666665,1562.19,-762.68
8,AAAAAAAAEAAAAAAA,exporticorp #1,Jewelry,5666.37,5138.735833333333,3033.65,-2318.16
9,AAAAAAAAEAAAAAAA,univamalgamalg #15,Electronics,2389.48,2166.7408333333333,-1434.40,-883.83
9,AAAAAAAABAAAAAAA,edu packnameless #10,Sports,2444.56,2724.68,-1029.46,-1667.58
7,AAAAAAAAEAAAAAAA,exportiamalgamalg #11,Electronics,1949.70,2173.3675,899.40,-1159.56
4,AAAAAAAAEAAAAAAA,exportimaxi #9,Sports,1979.22,2206.705,1074.87,1004.31
8,AAAAAAAACAAAAAAA,exportiamalgamalg #5,Electronics,2489.20,2256.570833333333,466.05,742.14
8,AAAAAAAAEAAAAAAA,scholaramalgamalg #15,Electronics,3736.72,3387.4266666666667,2123.09,-1069.97
2,AAAAAAAAEAAAAAAA,scholarunivamalg #14,Electronics,2131.47,2376.775,547.35,970.80
7,AAAAAAAABAAAAAAA,maxiunivamalg #6,Electronics,2409.92,2687.43,733.58,-1306.30
10,AAAAAAAAEAAAAAAA,brandnameless #6,Sports,1091.53,989.3558333333333,-340.12,-709.74
9,AAAAAAAACAAAAAAA,amalgmaxi #9,Books,6606.83,5988.201666666667,-539.33,-3104.04
9,AAAAAAAACAAAAAAA,amalgunivamalg #11,Books,6870.98,6227.5175,-2066.95,-2146.93
6,AAAAAAAABAAAAAAA,maxiunivamalg #4,Electronics,527.96,588.8416666666667,346.61,-142.38
4,AAAAAAAABAAAAAAA,brandbrand #10,Home,2955.64,3296.5516666666667,601.31,1152.50
7,AAAAAAAACAAAAAAA,exportiamalgamalg #5,Electronics,2023.15,2256.570833333333,-648.56,-466.05
9,AAAAAAAACAAAAAAA,importomaxi #9,Sports,7101.23,6435.218333333333,-1311.34,-1960.54
10,AAAAAAAAEAAAAAAA,brandbrand #9,Home,3167.02,2869.7633333333333,-1913.39,-2801.90
8,AAAAAAAAEAAAAAAA,importounivamalg #8,Books,9852.70,8927.863333333333,3652.01,-2822.53
8,AAAAAAAAEAAAAAAA,edu packmaxi #5,Books,6265.26,5676.721666666666,3148.59,-1535.57
9,AAAAAAAACAAAAAAA,exportiunivamalg #6,Electronics,3053.27,2766.095,-757.92,-812.41
8,AAAAAAAACAAAAAAA,namelesscorp #2,Jewelry,4844.19,4388.4425,2193.91,-731.45
9,AAAAAAAACAAAAAAA,edu packamalgamalg #10,Electronics,1255.12,1400.5816666666667,-753.92,-325.43
9,AAAAAAAACAAAAAAA,importoamalgamalg #8,Electronics,4037.42,3657.53,-1598.67,-1739.95
9,AAAAAAAAEAAAAAAA,amalgnameless #6,Home,4086.61,3701.97,1438.98,-2527.20
8,AAAAAAAABAAAAAAA,importoamalgamalg #17,Electronics,4648.72,4210.535,1430.11,-2352.73
9,AAAAAAAACAAAAAAA,namelessbrand #2,Home,1820.92,1649.1291666666666,-749.66,-954.66
7,AAAAAAAACAAAAAAA,brandbrand #4,Home,3329.76,3717.0408333333335,6.21,-1820.45
9,AAAAAAAAEAAAAAAA,amalgunivamalg #8,Books,7096.28,6426.3075,-1945.97,-936.98
8,AAAAAAAACAAAAAAA,corpnameless #10,Home,3421.70,3098.5716666666667,1604.71,-1067.18
1,AAAAAAAACAAAAAAA,edu packamalgamalg #12,Electronics,1803.22,1632.93,,1439.64
9,AAAAAAAABAAAAAAA,importounivamalg #13,Electronics,2383.68,2158.39,-70.51,-910.03
10,AAAAAAAACAAAAAAA,edu packbrand #4,Home,2212.72,2003.5208333333333,-27.89,-2173.61
9,AAAAAAAACAAAAAAA,importomaxi #2,Books,7033.58,6368.193333333334,-2932.74,-149.99
9,AAAAAAAACAAAAAAA,edu packbrand #2,Jewelry,3084.49,2792.6691666666666,-1487.72,-539.87
9,AAAAAAAACAAAAAAA,exportimaxi #5,Sports,2988.27,2705.5516666666667,651.85,-1252.94
7,AAAAAAAABAAAAAAA,importomaxi #3,Sports,4148.13,4632.229166666667,2579.44,-2119.11
8,AAAAAAAABAAAAAAA,scholaramalgamalg #9,Electronics,577.47,522.8183333333334,464.83,-184.72
10,AAAAAAAABAAAAAAA,brandbrand #6,Home,2345.79,2123.659166666667,672.08,-2479.13
8,AAAAAAAABAAAAAAA,corpmaxi #8,Books,4889.71,4426.6241666666665,1410.42,-698.76
8,AAAAAAAABAAAAAAA,amalgnameless #10,Sports,6029.45,5458.390833333333,2778.56,-2668.23
8,AAAAAAAAEAAAAAAA,amalgmaxi #4,Sports,1710.61,1548.5258333333334,988.60,-987.81
8,AAAAAAAABAAAAAAA,edu packamalgamalg #6,Electronics,2528.26,2288.6075,1874.42,-1013.66
9,AAAAAAAACAAAAAAA,edu packbrand #1,Home,3121.59,2825.6,-645.76,-2090.63
10,AAAAAAAACAAAAAAA,univamalgamalg #4,Electronics,4720.36,4272.725833333333,-369.30,-5058.19
9,AAAAAAAAEAAAAAAA,exportiunivamalg #2,Books,8007.02,7247.604166666667,-1305.76,-1969.77
9,AAAAAAAABAAAAAAA,amalgmaxi #8,Books,4720.24,4272.429166666667,-1245.26,-893.20
12,AAAAAAAABAAAAAAA,edu packnameless #2,Sports,1181.95,1069.7908333333332,-1796.34,
10,AAAAAAAABAAAAAAA,edu packcorp #5,Jewelry,5113.20,4627.7891666666665,-1579.51,-3986.35
9,AAAAAAAAEAAAAAAA,edu packbrand #2,Home,1423.22,1590.18,124.47,-1368.57
9,AAAAAAAABAAAAAAA,scholarunivamalg #1,Electronics,5321.45,4815.779166666666,2300.56,-1059.15
10,AAAAAAAABAAAAAAA,importomaxi #5,Books,5509.14,4984.9525,-1727.19,-6248.41
4,AAAAAAAACAAAAAAA,exportinameless #6,Home,1456.12,1627.4741666666666,1067.26,244.89
9,AAAAAAAACAAAAAAA,scholarunivamalg #10,Electronics,2925.15,2646.2466666666664,-839.63,-247.96
9,AAAAAAAACAAAAAAA,importonameless #10,Home,2486.21,2779.485,-1325.67,-1503.79
9,AAAAAAAABAAAAAAA,edu packbrand #2,Jewelry,2465.23,2756.115,-853.32,-1625.66
9,AAAAAAAAEAAAAAAA,univamalgamalg #12,Electronics,913.72,1021.6225,342.40,-368.18
5,AAAAAAAAEAAAAAAA,univamalgamalg #12,Electronics,913.66,1021.6225,807.13,220.17
6,AAAAAAAABAAAAAAA,corpunivamalg #9,Electronics,477.56,534.0091666666667,431.53,234.28
8,AAAAAAAAEAAAAAAA,scholaramalgamalg #1,Electronics,3492.34,3158.4591666666665,979.19,-869.74
9,AAAAAAAACAAAAAAA,brandmaxi #11,Books,7893.28,7137.85,-2827.62,-2862.03
6,AAAAAAAACAAAAAAA,brandbrand #4,Home,3323.55,3717.0408333333335,890.04,-6.21
9,AAAAAAAAEAAAAAAA,namelessunivamalg #15,Electronics,2827.40,2556.6808333333333,-444.48,-2670.28
10,AAAAAAAAEAAAAAAA,exportiamalgamalg #15,Electronics,3720.44,3364.2008333333333,-437.87,-4064.43
10,AAAAAAAAEAAAAAAA,edu packbrand #1,Jewelry,5209.48,4710.046666666667,-1525.38,-3068.14
6,AAAAAAAAEAAAAAAA,brandnameless #8,Sports,1922.35,2150.82,461.73,794.38
10,AAAAAAAABAAAAAAA,amalgunivamalg #7,Electronics,2187.70,1977.2466666666667,-291.74,-1202.63
