i_item_desc,w_warehouse_name,d_week_seq,num_sales_without_promotion,num_sales_with_promotion
"Long terms may not attack only colonies. Efforts attempt almost particular, black goals. Now new resources would provide eve",Terms overcome instr,5355,0,16
National rela,"Social, royal laws m",5365,0,16
Proba,,5371,0,16
"Special workers could not add by the units; video-taped, digital communications might take most lovely funds; inter","Social, royal laws m",5354,0,16
"Projects should limit marginal, delicate chapters. However social teachers happen however again strong characters. Employee",Terms overcome instr,5328,0,14
Similar origins used to know barely ever traditional lads. Funds reduce specifically in the,"Social, royal laws m",5373,0,14
At last possibl,,5367,0,13
Black children think now parents. Successful products must offer basic,,5339,0,13
Conventional,Of course ot,5372,0,13
"Much academic men embrace prominent, insufficient others. Problems get about. W",Of course ot,5375,0,13
"Right digital pubs will think front, lib","Social, royal laws m",5363,0,13
"Sides stay regional, national orders. Subjects will not correct about sales.",Of course ot,5365,0,13
"Turkish, western scientists cannot pass ago major, native pupils. Rough waves prevent soon social subjects. Stiffly distinguished names rule just parts; secret, improve",Terms overcome instr,5359,0,13
"Eastern, important cases buy always. Too provincial jobs ensure now. Good lines shall not take; minutes may not open today arbitrary leaders; tonight administrative times dismiss; apart",,5357,0,12
Times glance through a varieties. Alone plans should not land right with a lives. Metals see g,"Social, royal laws m",5336,0,12
"Grey, white companies used to place most even costly pupils; distinctive others lead ever. White, random ","Social, royal laws m",5358,0,11
Resources could not provide ai,Of course ot,5371,0,11
"Too chief users keep certainly. New, possible results would not mean. Certain, exact areas prefer new, working-class children. Emotional, criminal legs arrive. Different, great relatio","Social, royal laws m",5366,0,11
"Unfair improvements must not go particularly contents. Nice, correct stores li",Conventional childr,5361,0,11
Central women ap,Of course ot,5337,0,10
"Contributions offer; useless, growing colleagues would not ",Terms overcome instr,5334,0,10
"Generally different children should deal gastric, bri",,5357,0,10
However american sounds can bring then always national lives. Wrong students could not find much then representative seats; most upper cells might not know in a busin,,5369,0,10
Jobs wish all the same free workers. Exhibitions must encourage scottish teachers. Rooms shall go very words. Better availabl,,5374,0,10
Also perfect clothes entertain american terms. Left teams will make maybe specific minds. Poor years could pursue perhaps military sports; however little centres ,Conventional childr,5343,0,9
Clothes differ given men. Doctors shall not end just,Terms overcome instr,5371,0,9
Easily scottish minutes could use as more dangerous users. Secondary things like over skills. Trade,,5357,0,9
"Permanent, ready scales know regular games. Feet will coincide over shared, difficult projects; fresh, quiet years cannot think agricultural vessels. Lar",Conventional childr,5357,0,9
"Quiet, other wounds shall make as well strong wings. Activities move systematically minutes. Dry, specia","Social, royal laws m",5331,0,9
"Real changes used to sell of course. Days agree with the purposes. Unable, married members give able, single types. Expected, national months ought to gr",Terms overcome instr,5336,0,9
"Also efficient ideas date mainly religious, huge countries. However easy women will not service. Other, responsible agents go procedures; studies leave spec","Social, royal laws m",5356,0,8
"Easily new sentences enter. Children go both other bills. Different, continuous jobs walk then semantic seconds. Isolated entries may discuss again from the seats. Black, political for","Social, royal laws m",5373,0,8
Indeed final things will not give probably hardly correct fields. Ever considerable,"Social, royal laws m",5364,0,8
J,"Social, royal laws m",5368,0,8
Just crews will encourage very. Villages could not see considerable items. Most important topics ought to find short women. Equiv,Terms overcome instr,5375,0,8
Other funds might not afford. Available gen,"Social, royal laws m",5374,0,8
"There wonderful parts might mean important, terrible eyes. Level, general woods generate also proposed goods. Funds reclaim much extra borders. Easier other year",Terms overcome instr,5357,0,8
"Years can need never regions. Best likely imports used to get now blue ways. More international communities decide immediately. Other, overall trees may love ",Terms overcome instr,5348,0,8
All right re,Conventional childr,5374,0,7
Authors fit betw,Of course ot,5341,0,7
Black children think now parents. Successful products must offer basic,Of course ot,5359,0,7
Desperate effects might not want high fair figures. Both back rights should not argue just heavy eve,Of course ot,5371,0,7
"Easy methods accept at a levels. Silent gentlemen find participants. Good, rich thanks explore always; around individual families s",Terms overcome instr,5330,0,7
"Excellent contracts could not lead circumstances. Direct, subsequent years could not reach upon a models. As electronic changes used to ch",Of course ot,5368,0,7
"Golden, gener",Of course ot,5363,0,7
"Impressive, white matters require old, big surfaces. Eyes will not perform at a times. Similar, formal factors appease most differences. Members would bother new problems. Men fill shortly locati","Social, royal laws m",5341,0,7
"Poor, sexual councils cannot work additional, medical players. Technical, public members make ",Conventional childr,5335,0,7
"Practical, great activities w",Terms overcome instr,5375,0,7
"Still junior girls imply considerable, green eyes. Private minutes could give local, retail reports. Payments must murder indeed at a rates. Never possible devices used to affo",Terms overcome instr,5357,0,7
Students should go always powerful manufacturers. Very long causes see above real k,"Social, royal laws m",5368,0,7
"Theories result dangerous children. As mass savings identify clearly generally sure things; true, following pockets must not incorporate. Over working boys feel even different calls. Somewhere immedi",,5371,0,7
"Basic, little women may campaign in the programmes. Effectively appropriate trousers forget as together ordinary gentlemen. Well low concerns would view sometimes charts. Real uniq",Terms overcome instr,5334,0,6
"Central, scottish colleagues complete of course good, high laws; for example available countries might not like eagerly true public cases. False, southern circumstances aba",,5361,0,6
"Halfway recent types used to leap against the years; evident, other features can say particularly continuous classes; great, welsh",Terms overcome instr,5363,0,6
Much constitutional changes us,Terms overcome instr,5352,0,6
Nearly small chairs cannot produce most sorry financial firms. Days se,Terms overcome instr,5331,0,6
Other considerations must find practical families; then economi,Conventional childr,5357,0,6
Perhaps local cases might cross so. Considerations make really experiences. Books used to think in the of,Terms overcome instr,5324,0,6
"Possible, interested pictures must not paint still near a forms. Peoples would not trust already separate ",Of course ot,5374,0,6
Progressive inches may become finally clothes. Extended interests dig reforms. Technical ,"Social, royal laws m",5366,0,6
Trying designs come useful years. Units used to know levels. Rather other versions can match indeed part,Terms overcome instr,5361,0,6
"Actual, new cases provide activities. Personal beaches eat much",,5328,0,5
"Also huge powers mean pure, honest cattle. Bluntly other countries hear near mice; particular eyes shall go here too pleasant lives. Apparently double languages will leave with a empl",Conventional childr,5355,0,5
"Future, inevitable directors shall confine strategic, aware foreigners. Smooth, old days would see. Newspape",Terms overcome instr,5372,0,5
"Just recent legs feel clearly major, major tonnes. Borders might affect. Foreign books may provide therefore as conservative techniques. Old balls tell discussions. Unexpected, linguist","Social, royal laws m",5333,0,5
"Long, long points know halfway working-class, other minutes. Just different views smoke rather. Simply parental connections exten","Social, royal laws m",5323,0,5
Lucky products must not settle grounds. Good police could comment much industrial services; years ought,Terms overcome instr,5370,0,5
"Mostly existing matters meet ago cultural problems. Unlikely, future feet turn as better monetary children. No doubt dominant tests thank at once details. Beings tend. Previous, imp",Of course ot,5363,0,5
"National, wonderful standards cannot hear yards. Policies restore much particularly opening variations. Increased, good eyes",,5359,0,5
Participants think finally in a applications; commercial cases would want on,Terms overcome instr,5357,0,5
