('Certainly fede', 'EXPRESS', 'California', 8375, 8501, 8637, 0, 0)
('Certainly fede', 'NEXT DAY', 'North Midwest_2', 8248, 8592, 8638, 0, 0)
('Certainly fede', 'NEXT DAY', 'Pacific Northwest', 8267, 8543, 8576, 0, 0)
('Certainly fede', 'NEXT DAY', 'Pacific Northwest_1', 8201, 8529, 8499, 0, 0)
('Certainly fede', 'OVERNIGHT', 'California', 6028, 6339, 6401, 0, 0)
('Certainly fede', 'OVERNIGHT', 'California_1', 6301, 6342, 6362, 0, 0)
('Certainly fede', 'OVERNIGHT', 'Hawaii/Alaska', 6140, 6168, 6403, 0, 0)
('Certainly fede', 'OVERNIGHT', 'Hawaii/Alaska_1', 6197, 6459, 6170, 0, 0)
('Certainly fede', 'OVERNIGHT', 'Mid Atlantic', 6189, 6319, 6379, 0, 0)
('Certainly fede', 'OVERNIGHT', 'Mid Atlantic_1', 6181, 6381, 6410, 0, 0)
('Certainly fede', 'OVERNIGHT', 'Mid Atlantic_2', 6253, 6425, 6453, 0, 0)
('Certainly fede', 'OVERNIGHT', 'NY Metro', 6289, 6303, 6366, 0, 0)
('Certainly fede', 'OVERNIGHT', 'NY Metro_1', 6038, 6337, 6405, 0, 0)
('Certainly fede', 'OVERNIGHT', 'NY Metro_2', 6132, 6384, 6379, 0, 0)
('Certainly fede', 'OVERNIGHT', 'North Midwest', 6284, 6439, 6447, 0, 0)
('Certainly fede', 'OVERNIGHT', 'North Midwest_1', 6222, 6425, 6359, 0, 0)
('Certainly fede', 'OVERNIGHT', 'North Midwest_2', 6162, 6522, 6548, 0, 0)
('Certainly fede', 'OVERNIGHT', 'Pacific Northwest', 6271, 6403, 6385, 0, 0)
('Certainly fede', 'OVERNIGHT', 'Pacific Northwest_1', 6246, 6314, 6286, 0, 0)
('Certainly fede', 'REGULAR', 'California', 6137, 6195, 6360, 0, 0)
('Certainly fede', 'REGULAR', 'California_1', 6236, 6363, 6508, 0, 0)
('Certainly fede', 'REGULAR', 'Hawaii/Alaska', 6142, 6324, 6513, 0, 0)
('Certainly fede', 'REGULAR', 'Hawaii/Alaska_1', 6106, 6299, 6487, 0, 0)
('Certainly fede', 'REGULAR', 'Mid Atlantic', 6275, 6301, 6357, 0, 0)
('Certainly fede', 'REGULAR', 'Mid Atlantic_1', 6283, 6455, 6468, 0, 0)
('Certainly fede', 'REGULAR', 'Mid Atlantic_2', 5997, 6315, 6447, 0, 0)
('Certainly fede', 'REGULAR', 'NY Metro', 6100, 6291, 6447, 0, 0)
('Certainly fede', 'REGULAR', 'NY Metro_1', 6145, 6474, 6223, 0, 0)
('Certainly fede', 'REGULAR', 'NY Metro_2', 6172, 6279, 6307, 0, 0)
('Certainly fede', 'REGULAR', 'North Midwest', 6195, 6370, 6317, 0, 0)
('Certainly fede', 'REGULAR', 'North Midwest_1', 6325, 6424, 6349, 0, 0)
('Certainly fede', 'REGULAR', 'North Midwest_2', 6202, 6560, 6448, 0, 0)
('Certainly fede', 'REGULAR', 'Pacific Northwest', 6207, 6347, 6329, 0, 0)
('Certainly fede', 'REGULAR', 'Pacific Northwest_1', 6210, 6066, 6386, 0, 0)
('Certainly fede', 'TWO DAY', 'California', 6084, 6425, 6191, 0, 0)
('Certainly fede', 'TWO DAY', 'California_1', 6034, 6282, 6450, 0, 0)
('Certainly fede', 'TWO DAY', 'Hawaii/Alaska', 6152, 6235, 6446, 0, 0)
('Certainly fede', 'TWO DAY', 'Hawaii/Alaska_1', 6111, 6413, 6532, 0, 0)
('Certainly fede', 'TWO DAY', 'Mid Atlantic', 6266, 6324, 6323, 0, 0)
('Certainly fede', 'TWO DAY', 'Mid Atlantic_1', 6253, 6383, 6539, 0, 0)
('Certainly fede', 'TWO DAY', 'Mid Atlantic_2', 6124, 6129, 6477, 0, 0)
('Certainly fede', 'TWO DAY', 'NY Metro', 6201, 6351, 6433, 0, 0)
('Certainly fede', 'TWO DAY', 'NY Metro_1', 6295, 6467, 6489, 0, 0)
('Certainly fede', 'TWO DAY', 'NY Metro_2', 6183, 6290, 6444, 0, 0)
('Certainly fede', 'TWO DAY', 'North Midwest', 6112, 6338, 6337, 0, 0)
('Certainly fede', 'TWO DAY', 'North Midwest_1', 6242, 6363, 6331, 0, 0)
('Certainly fede', 'TWO DAY', 'North Midwest_2', 6155, 6434, 6425, 0, 0)
('Certainly fede', 'TWO DAY', 'Pacific Northwest', 6160, 6341, 6274, 0, 0)
('Certainly fede', 'TWO DAY', 'Pacific Northwest_1', 6106, 6434, 6436, 0, 0)
('Conventional childr', 'EXPRESS', 'California', 8112, 8618, 8510, 0, 0)
('Conventional childr', 'EXPRESS', 'California_1', 8216, 8441, 8600, 0, 0)
('Conventional childr', 'EXPRESS', 'Hawaii/Alaska', 8153, 8497, 8535, 0, 0)
('Conventional childr', 'EXPRESS', 'Hawaii/Alaska_1', 8149, 8553, 8543, 0, 0)
('Conventional childr', 'EXPRESS', 'Mid Atlantic', 8170, 8513, 8422, 0, 0)
('Conventional childr', 'EXPRESS', 'Mid Atlantic_1', 8208, 8482, 8707, 0, 0)
('Conventional childr', 'EXPRESS', 'Mid Atlantic_2', 8209, 8454, 8640, 0, 0)
('Conventional childr', 'EXPRESS', 'NY Metro', 8114, 8603, 8642, 0, 0)
('Conventional childr', 'EXPRESS', 'NY Metro_1', 8224, 8517, 8542, 0, 0)
('Conventional childr', 'EXPRESS', 'NY Metro_2', 8116, 8419, 8545, 0, 0)
