(8008002, 'namelessnameless #2', 338, 'eingpripri', Decimal('240087.00'))
(10014003, 'edu packamalgamalg #3', 421, 'oughtableese', Decimal('239480.44'))
(10004001, 'edu packunivamalg #1', 171, 'oughtationought', Decimal('239229.46'))
(1004001, 'edu packamalg #1', 142, 'ableeseought', Decimal('239163.76'))
(5004001, 'edu packscholar #1', 71, 'oughtation', Decimal('237937.90'))
(9009009, 'maximaxi #9', 177, 'ationationought', Decimal('237880.44'))
(2004002, 'edu packimporto #2', 61, 'oughtcally', Decimal('237009.09'))
(2004002, 'edu packimporto #2', 299, 'n stn stable', Decimal('236549.64'))
(4003001, 'exportiedu pack #1', 331, 'oughtpripri', Decimal('236546.46'))
(5002002, 'importoscholar #2', 77, 'ationation', Decimal('236492.51'))
(6003004, 'exporticorp #4', 543, 'prieseanti', Decimal('232841.96'))
(10007009, 'brandunivamalg #9', 229, 'n stableable', Decimal('230421.49'))
(10005016, 'scholarunivamalg #16', 746, 'callyeseation', Decimal('227329.59'))
(1002002, 'importoamalg #2', 43, 'priese', Decimal('227315.38'))
(4003001, 'exportiedu pack #1', 53, 'prianti', Decimal('226449.43'))
(6001002, 'amalgcorp #2', 118, 'eingoughtought', Decimal('226106.47'))
(4001001, 'amalgedu pack #1', 324, 'eseablepri', Decimal('225651.85'))
(10004011, 'edu packunivamalg #11', 276, 'callyationable', Decimal('225490.04'))
(5003001, 'exportischolar #1', 274, 'eseationable', Decimal('225331.37'))
(5004002, 'edu packscholar #2', 658, 'eingantically', Decimal('224767.13'))
(3003002, 'exportiexporti #2', 450, 'barantiese', Decimal('224425.96'))
(4003001, 'exportiedu pack #1', 192, 'ablen stought', Decimal('224020.55'))
(9008005, 'namelessmaxi #5', 34, 'esepri', Decimal('223802.75'))
(3001001, 'amalgexporti #1', 504, 'esebaranti', Decimal('223732.52'))
(6006008, 'corpcorp #8', 572, 'ableationanti', Decimal('222685.58'))
(9012003, 'importounivamalg #3', 9, 'n st', Decimal('221711.37'))
(7016010, 'corpnameless #10', 933, 'priprin st', Decimal('220897.60'))
(6006005, 'corpcorp #5', 384, 'eseeingpri', Decimal('220674.94'))
(10015016, 'scholaramalgamalg #16', 135, 'antipriought', Decimal('220512.49'))
(7015002, 'scholarnameless #2', 308, 'eingbarpri', Decimal('219196.30'))
(8013005, 'exportimaxi #5', 209, 'n stbarable', Decimal('218668.90'))
(6015002, 'scholarbrand #2', 96, 'callyn st', Decimal('218062.84'))
(9005009, 'scholarmaxi #9', 223, 'priableable', Decimal('217745.00'))
(6009007, 'maxicorp #7', 623, 'priablecally', Decimal('217523.73'))
(4001001, 'amalgedu pack #1', 284, 'eseeingable', Decimal('217410.99'))
(8016004, 'corpmaxi #4', 319, 'n stoughtpri', Decimal('217027.47'))
(4001002, 'amalgedu pack #2', 200, 'barbarable', Decimal('216520.29'))
(3001001, 'amalgexporti #1', 323, 'priablepri', Decimal('216161.77'))
(9009011, 'maximaxi #11', 633, 'priprically', Decimal('216151.93'))
(5001001, 'amalgscholar #1', 580, 'bareinganti', Decimal('215103.08'))
(8012007, 'importomaxi #7', 49, 'n stese', Decimal('214896.78'))
(2004001, 'edu packimporto #1', 265, 'anticallyable', Decimal('214738.70'))
(9004002, 'edu packmaxi #2', 189, 'n steingought', Decimal('214735.11'))
(5002001, 'importoscholar #1', 630, 'barprically', Decimal('214624.05'))
(1002001, 'importoamalg #1', 462, 'ablecallyese', Decimal('214554.52'))
(6009005, 'maxicorp #5', 100, 'barbarought', Decimal('213910.85'))
(1004001, 'edu packamalg #1', 194, 'esen stought', Decimal('213040.47'))
(8004009, 'edu packnameless #9', 37, 'ationpri', Decimal('212991.63'))
(2004002, 'edu packimporto #2', 202, 'ablebarable', Decimal('212910.75'))
(8005009, 'scholarnameless #9', 524, 'eseableanti', Decimal('212497.40'))
(2003002, 'exportiimporto #2', 144, 'eseeseought', Decimal('212241.56'))
(10006001, 'corpunivamalg #1', 441, 'oughteseese', Decimal('212099.68'))
(10001017, 'amalgunivamalg #17', 135, 'antipriought', Decimal('212079.43'))
(5004002, 'edu packscholar #2', 281, 'oughteingable', Decimal('211990.28'))
(9008003, 'namelessmaxi #3', 89, 'n steing', Decimal('211623.76'))
(6001005, 'amalgcorp #5', 225, 'antiableable', Decimal('211469.79'))
(4002002, 'importoedu pack #2', 266, 'callycallyable', Decimal('211340.83'))
(1001001, 'amalgamalg #1', 389, 'n steingpri', Decimal('211235.09'))
(3004001, 'edu packexporti #1', 12, 'ableought', Decimal('211178.98'))
(6012003, 'importobrand #3', 240, 'bareseable', Decimal('211142.05'))
(9011002, 'amalgunivamalg #2', 581, 'oughteinganti', Decimal('211085.36'))
(4004002, 'edu packedu pack #2', 18, 'eingought', Decimal('210922.38'))
(9011002, 'amalgunivamalg #2', 222, 'ableableable', Decimal('210847.47'))
(1004002, 'edu packamalg #2', 804, 'esebareing', Decimal('210636.84'))
(1002001, 'importoamalg #1', 2, 'able', Decimal('210431.49'))
(9015002, 'scholarunivamalg #2', 224, 'eseableable', Decimal('210190.48'))
(8010002, 'univmaxi #2', 454, 'eseantiese', Decimal('210122.75'))
(1004001, 'edu packamalg #1', 990, 'barn stn st', Decimal('209657.85'))
