(4002001, 'importoedu pack #1', Decimal('337479.80'))
(3002002, 'importoexporti #2', Decimal('336402.61'))
(9005009, 'scholarmaxi #9', Decimal('334732.02'))
(7003003, 'exportibrand #3', Decimal('325958.46'))
(5002001, 'importoscholar #1', Decimal('302069.32'))
(9012005, 'edu packscholar #2', Decimal('293256.29'))
(10016017, 'corpamalgamalg #17', Decimal('234363.66'))
(4003001, 'exportiedu pack #1', Decimal('224215.03'))
(7010002, 'univnameless #2', Decimal('222994.37'))
(6002002, 'importocorp #2', Decimal('222147.72'))
(8016003, 'corpmaxi #3', Decimal('215037.16'))
(7014001, 'importomaxi #2', Decimal('214908.19'))
(7016009, 'brandmaxi #6', Decimal('211826.91'))
(2003001, 'exportiexporti #2', Decimal('208830.46'))
(7011001, 'amalgnameless #1', Decimal('208419.64'))
(9012003, 'importounivamalg #3', Decimal('207054.64'))
(10003015, 'exportiunivamalg #15', Decimal('206504.68'))
(6003005, 'exporticorp #5', Decimal('201135.71'))
(10007004, 'brandunivamalg #4', Decimal('199347.68'))
(7015001, 'scholarnameless #1', Decimal('199085.32'))
(9014008, 'edu packunivamalg #8', Decimal('198922.30'))
(8005005, 'scholarnameless #5', Decimal('198521.33'))
(6009003, 'scholarmaxi #4', Decimal('196776.49'))
(9011012, 'amalgunivamalg #12', Decimal('196707.22'))
(10013010, 'exportiamalgamalg #10', Decimal('195966.59'))
(8006003, 'importoamalgamalg #14', Decimal('195794.47'))
(4003001, 'importonameless #2', Decimal('195593.95'))
(6013007, 'exportibrand #7', Decimal('193885.01'))
(10011014, 'amalgimporto #2', Decimal('192914.26'))
(10009017, 'maxiunivamalg #17', Decimal('192232.60'))
(6007005, 'brandunivamalg #1', Decimal('191264.38'))
(8007002, 'brandnameless #2', Decimal('190337.98'))
(10009012, 'maxiunivamalg #12', Decimal('189114.79'))
(8015010, 'scholarmaxi #10', Decimal('187579.18'))
(10015010, 'scholarbrand #10', Decimal('187401.62'))
(7001005, 'amalgbrand #5', Decimal('186682.67'))
(10003011, 'exportiunivamalg #11', Decimal('186431.59'))
(10013017, 'exportiamalgamalg #17', Decimal('186181.30'))
(10006009, 'corpnameless #6', Decimal('185340.78'))
(1003001, 'edu packscholar #2', Decimal('185242.49'))
(7013007, 'edu packcorp #2', Decimal('185106.84'))
(7002010, 'importobrand #10', Decimal('184508.03'))
(1002001, 'maximaxi #12', Decimal('184404.45'))
(7006003, 'corpbrand #3', Decimal('182590.78'))
(7004003, 'exportischolar #2', Decimal('182548.43'))
(8003005, 'exportinameless #5', Decimal('181918.76'))
(2001001, 'edu packexporti #2', Decimal('181898.67'))
(8010006, 'univmaxi #6', Decimal('181874.35'))
(8001001, 'amalgnameless #1', Decimal('181169.63'))
(9006008, 'corpmaxi #8', Decimal('180814.93'))
(None, 'exportischolar #2', Decimal('180559.71'))
(4003001, 'amalgexporti #2', Decimal('179984.58'))
(9005003, 'scholarmaxi #3', Decimal('178887.69'))
(6016001, 'corpbrand #1', Decimal('178512.59'))
(9002005, 'edu packimporto #2', Decimal('177561.63'))
(6014003, 'edu packbrand #3', Decimal('177267.71'))
(9013002, 'exportiunivamalg #2', Decimal('176843.65'))
(7006009, 'corpbrand #9', Decimal('176796.33'))
(7012002, 'importonameless #2', Decimal('174914.90'))
(6002001, 'corpmaxi #6', Decimal('174179.26'))
