(-0.4328421241186433, 'Jewelry', 'mens watch', 0, 10)
(-0.43278210463254085, 'Jewelry', 'womens watch', 0, 11)
(-0.43264101684038786, 'Jewelry', 'costume', 0, 12)
(-0.43179476650504944, 'Jewelry', 'diamonds', 0, 13)
(-0.4311321028511836, 'Jewelry', 'semi-precious', 0, 14)
(-0.4299215041619625, 'Jewelry', 'gold', 0, 15)
(-0.4281002041116824, 'Jewelry', 'jewelry boxes', 0, 16)
(-0.4183058423466022, 'Jewelry', None, 0, 17)
(-0.43537174849899274, 'Men', 'sports-apparel', 0, 1)
(-0.43479972309505727, 'Men', 'pants', 0, 2)
(-0.4346784808612181, 'Men', 'accessories', 0, 3)
(-0.4323208439309635, 'Men', 'shirts', 0, 4)
(-0.42924188496297405, 'Men', None, 0, 5)
(-0.4350332321219383, 'Music', None, 0, 1)
(-0.4338656066409382, 'Music', 'pop', 0, 2)
(-0.4329867453911878, 'Music', 'country', 0, 3)
(-0.43283098376730283, 'Music', 'rock', 0, 4)
(-0.4326135500003958, 'Music', 'classical', 0, 5)
(-0.443900701991311, 'Shoes', None, 0, 1)
(-0.4341803982062564, 'Shoes', 'athletic', 0, 2)
(-0.4340817429407177, 'Shoes', 'kids', 0, 3)
(-0.4326656218395026, 'Shoes', 'mens', 0, 4)
(-0.4323494940304794, 'Shoes', 'womens', 0, 5)
