(7, datetime.date(2001, 5, 1), Decimal('227.07'), Decimal('46.69'), Decimal('227.07'), Decimal('46.69'))
(19, datetime.date(2001, 5, 2), Decimal('84.72'), Decimal('24.34'), Decimal('84.72'), Decimal('24.34'))
(19, datetime.date(2001, 5, 3), None, Decimal('33.66'), Decimal('84.72'), Decimal('33.66'))
(25, datetime.date(2001, 5, 2), None, Decimal('2.47'), Decimal('173.26'), Decimal('2.47'))
(25, datetime.date(2001, 5, 3), Decimal('213.24'), Decimal('21.56'), Decimal('213.24'), Decimal('21.56'))
(25, datetime.date(2001, 5, 5), None, Decimal('73.61'), Decimal('213.24'), Decimal('73.61'))
(25, datetime.date(2001, 5, 7), None, Decimal('88.93'), Decimal('213.24'), Decimal('88.93'))
(25, datetime.date(2001, 5, 8), None, Decimal('187.59'), Decimal('213.24'), Decimal('187.59'))
(33, datetime.date(2001, 5, 2), Decimal('268.61'), None, Decimal('268.61'), Decimal('76.00'))
(33, datetime.date(2001, 5, 3), None, Decimal('197.07'), Decimal('268.61'), Decimal('197.07'))
(33, datetime.date(2001, 5, 4), None, Decimal('249.77'), Decimal('268.61'), Decimal('249.77'))
(35, datetime.date(2001, 5, 18), Decimal('351.53'), None, Decimal('351.53'), Decimal('261.46'))
(37, datetime.date(2001, 5, 11), Decimal('244.53'), Decimal('165.02'), Decimal('244.53'), Decimal('165.02'))
(37, datetime.date(2001, 5, 13), None, Decimal('166.83'), Decimal('244.53'), Decimal('166.83'))
(37, datetime.date(2001, 5, 15), Decimal('308.81'), Decimal('171.12'), Decimal('308.81'), Decimal('171.12'))
(37, datetime.date(2001, 5, 16), None, Decimal('269.75'), Decimal('308.81'), Decimal('269.75'))
(37, datetime.date(2001, 5, 19), Decimal('346.10'), Decimal('331.13'), Decimal('346.10'), Decimal('331.13'))
(37, datetime.date(2001, 5, 20), Decimal('377.05'), Decimal('364.04'), Decimal('377.05'), Decimal('364.04'))
(45, datetime.date(2001, 5, 3), Decimal('117.64'), None, Decimal('117.64'), Decimal('10.27'))
(45, datetime.date(2001, 5, 4), None, Decimal('10.27'), Decimal('117.64'), Decimal('10.27'))
(45, datetime.date(2001, 5, 5), None, Decimal('12.50'), Decimal('117.64'), Decimal('12.50'))
(57, datetime.date(2001, 5, 2), Decimal('83.47'), None, Decimal('83.47'), Decimal('66.51'))
(59, datetime.date(2001, 5, 4), Decimal('57.18'), None, Decimal('57.18'), Decimal('27.07'))
(61, datetime.date(2001, 5, 1), Decimal('21.73'), Decimal('2.90'), Decimal('21.73'), Decimal('2.90'))
(79, datetime.date(2001, 5, 2), Decimal('94.30'), Decimal('6.30'), Decimal('94.30'), Decimal('6.30'))
(79, datetime.date(2001, 5, 3), Decimal('198.24'), Decimal('6.30'), Decimal('198.24'), Decimal('6.30'))
(79, datetime.date(2001, 5, 4), Decimal('318.06'), None, Decimal('318.06'), Decimal('6.30'))
(79, datetime.date(2001, 5, 5), None, Decimal('44.15'), Decimal('318.06'), Decimal('44.15'))
(79, datetime.date(2001, 5, 6), Decimal('389.46'), None, Decimal('389.46'), Decimal('44.15'))
(79, datetime.date(2001, 5, 8), None, Decimal('126.52'), Decimal('389.46'), Decimal('126.52'))
(79, datetime.date(2001, 5, 9), None, Decimal('130.76'), Decimal('389.46'), Decimal('130.76'))
(79, datetime.date(2001, 5, 12), None, Decimal('224.87'), Decimal('389.46'), Decimal('224.87'))
(79, datetime.date(2001, 5, 14), None, Decimal('233.26'), Decimal('389.46'), Decimal('233.26'))
(79, datetime.date(2001, 5, 16), Decimal('397.17'), Decimal('379.74'), Decimal('397.17'), Decimal('379.74'))
(79, datetime.date(2001, 5, 18), None, Decimal('379.74'), Decimal('397.17'), Decimal('379.74'))
(79, datetime.date(2001, 5, 22), None, Decimal('381.74'), Decimal('397.17'), Decimal('381.74'))
(81, datetime.date(2001, 5, 7), Decimal('130.80'), Decimal('95.84'), Decimal('130.80'), Decimal('95.84'))
(81, datetime.date(2001, 5, 9), None, Decimal('107.25'), Decimal('130.80'), Decimal('107.25'))
(81, datetime.date(2001, 5, 14), Decimal('434.94'), None, Decimal('434.94'), Decimal('274.84'))
(81, datetime.date(2001, 5, 15), None, Decimal('355.02'), Decimal('434.94'), Decimal('355.02'))
(81, datetime.date(2001, 5, 16), None, Decimal('418.45'), Decimal('434.94'), Decimal('418.45'))
(81, datetime.date(2001, 5, 18), None, Decimal('418.45'), Decimal('434.94'), Decimal('418.45'))
(87, datetime.date(2001, 5, 21), Decimal('571.84'), None, Decimal('571.84'), Decimal('571.48'))
(93, datetime.date(2001, 5, 3), Decimal('107.10'), None, Decimal('107.10'), Decimal('69.25'))
(93, datetime.date(2001, 5, 5), Decimal('115.79'), None, Decimal('115.79'), Decimal('69.25'))
(93, datetime.date(2001, 5, 6), None, Decimal('81.23'), Decimal('115.79'), Decimal('81.23'))
(93, datetime.date(2001, 5, 7), None, Decimal('89.14'), Decimal('115.79'), Decimal('89.14'))
(95, datetime.date(2001, 5, 3), Decimal('269.79'), Decimal('38.15'), Decimal('269.79'), Decimal('38.15'))
(95, datetime.date(2001, 5, 4), None, Decimal('171.36'), Decimal('269.79'), Decimal('171.36'))
(95, datetime.date(2001, 5, 5), None, Decimal('234.93'), Decimal('269.79'), Decimal('234.93'))
(95, datetime.date(2001, 5, 10), Decimal('411.33'), Decimal('345.91'), Decimal('411.33'), Decimal('345.91'))
(96, datetime.date(2002, 1, 6), Decimal('306.22'), None, Decimal('306.22'), Decimal('277.68'))
(96, datetime.date(2002, 1, 7), Decimal('438.43'), Decimal('367.61'), Decimal('438.43'), Decimal('367.61'))
(96, datetime.date(2002, 1, 8), Decimal('511.88'), Decimal('371.17'), Decimal('511.88'), Decimal('371.17'))
(96, datetime.date(2002, 1, 9), None, Decimal('476.50'), Decimal('511.88'), Decimal('476.50'))
(96, datetime.date(2002, 1, 12), None, Decimal('485.32'), Decimal('511.88'), Decimal('485.32'))
(97, datetime.date(2001, 5, 5), None, Decimal('36.82'), Decimal('71.35'), Decimal('36.82'))
(97, datetime.date(2001, 5, 6), Decimal('195.96'), Decimal('182.09'), Decimal('195.96'), Decimal('182.09'))
(99, datetime.date(2001, 5, 3), Decimal('125.29'), None, Decimal('125.29'), Decimal('82.75'))
(99, datetime.date(2001, 5, 5), None, Decimal('85.45'), Decimal('125.29'), Decimal('85.45'))
(102, datetime.date(2002, 1, 1), Decimal('93.92'), Decimal('46.22'), Decimal('93.92'), Decimal('46.22'))
(102, datetime.date(2002, 1, 2), Decimal('331.67'), Decimal('183.18'), Decimal('331.67'), Decimal('183.18'))
(102, datetime.date(2002, 1, 18), Decimal('946.40'), Decimal('890.00'), Decimal('946.40'), Decimal('890.00'))
(102, datetime.date(2002, 1, 20), None, Decimal('897.81'), Decimal('946.40'), Decimal('897.81'))
(102, datetime.date(2002, 2, 6), Decimal('1400.79'), Decimal('1334.54'), Decimal('1400.79'), Decimal('1334.54'))
(102, datetime.date(2002, 2, 14), Decimal('1621.45'), Decimal('1595.46'), Decimal('1621.45'), Decimal('1595.46'))
(105, datetime.date(2001, 5, 1), Decimal('131.65'), Decimal('19.11'), Decimal('131.65'), Decimal('19.11'))
(105, datetime.date(2001, 5, 2), None, Decimal('35.60'), Decimal('131.65'), Decimal('35.60'))
(105, datetime.date(2001, 5, 3), Decimal('170.65'), None, Decimal('170.65'), Decimal('35.60'))
