i_item_sk,i_item_desc,s_store_sk,s_store_name,total_net_profit_from_store,total_net_loss_from_store,total_net_profit_from_catalog
25,"Married, european goods help as also full arts. Local seconds used to d",8,eing,-2074.72,560.21,-13546.30
25,"Married, european goods help as also full arts. Local seconds used to d",19,n st,-692.13,0.00,-13546.30
25,"Married, european goods help as also full arts. Local seconds used to d",25,anti,3285.88,1792.64,-13546.30
25,"Married, european goods help as also full arts. Local seconds used to d",31,ought,-2226.21,121.65,-13546.30
26,"Following, new prospects get almost available children. Terms can need very lucky days. Likely, sufficient persons prolong particularly words. Years might not organise also. Oth",14,ese,-4736.74,1379.40,-68673.73
26,"Following, new prospects get almost available children. Terms can need very lucky days. Likely, sufficient persons prolong particularly words. Years might not organise also. Oth",16,cally,-203.24,130.71,-68673.73
26,"Following, new prospects get almost available children. Terms can need very lucky days. Likely, sufficient persons prolong particularly words. Years might not organise also. Oth",19,n st,1770.84,2523.19,-68673.73
26,"Following, new prospects get almost available children. Terms can need very lucky days. Likely, sufficient persons prolong particularly words. Years might not organise also. Oth",22,able,-882.19,125.02,-68673.73
29,"Proposals should pay in a children. Ready times solve well furiously general reports; over national agreements warrant long,",32,able,-16.68,101.92,-82854.67
31,Bright advisers explain i,7,ation,2422.44,62.96,-56192.20
31,Bright advisers explain i,8,eing,38.70,991.95,-56192.20
31,Bright advisers explain i,10,bar,-4526.20,1058.79,-56192.20
31,Bright advisers explain i,19,n st,-2063.74,212.12,-56192.20
31,Bright advisers explain i,25,anti,-5302.62,63.86,-56192.20
31,Bright advisers explain i,31,ought,-589.13,968.42,-56192.20
31,Bright advisers explain i,32,able,-7268.76,1116.18,-56192.20
32,Ce,2,able,-4519.34,1839.05,-30973.11
32,Ce,13,pri,-522.90,1184.90,-30973.11
32,Ce,25,anti,-2506.71,191.48,-30973.11
32,Ce,26,cally,-1099.81,702.25,-30973.11
32,Ce,28,eing,-1903.50,4438.79,-30973.11
32,Ce,32,able,-3035.95,486.04,-30973.11
35,"Major, strange officials would not assess bodies. Final, suitable applications must serve towns. Joint boys might question most social, tiny strings. Kn",31,ought,-1858.34,0.00,-46270.67
37,"Strict, strong results may think even nervous husbands. Other, sexua",4,ese,-268.85,983.00,-47134.45
37,"Strict, strong results may think even nervous husbands. Other, sexua",7,ation,-154.35,552.19,-47134.45
37,"Strict, strong results may think even nervous husbands. Other, sexua",10,bar,431.52,1506.42,-47134.45
37,"Strict, strong results may think even nervous husbands. Other, sexua",20,bar,-12495.71,105.84,-47134.45
37,"Strict, strong results may think even nervous husbands. Other, sexua",25,anti,-2520.89,513.98,-47134.45
38,"International, substantial schools mean effectively. Users put then in a operations. Particul",4,ese,-686.54,1317.86,-14742.44
38,"International, substantial schools mean effectively. Users put then in a operations. Particul",7,ation,-980.29,471.74,-14742.44
38,"International, substantial schools mean effectively. Users put then in a operations. Particul",8,eing,-3949.20,106.11,-14742.44
38,"International, substantial schools mean effectively. Users put then in a operations. Particul",10,bar,-1387.68,98.04,-14742.44
38,"International, substantial schools mean effectively. Users put then in a operations. Particul",14,ese,-8.26,1134.73,-14742.44
38,"International, substantial schools mean effectively. Users put then in a operations. Particul",28,eing,4276.86,125.75,-14742.44
38,"International, substantial schools mean effectively. Users put then in a operations. Particul",32,able,162.85,353.97,-14742.44
41,Usually other children must stop shares. Relations,20,bar,-880.14,96.70,-41082.05
43,"Resources shall not continue thus similar, practical results. Practical words f",1,ought,-5089.63,57.02,-67218.80
43,"Resources shall not continue thus similar, practical results. Practical words f",4,ese,-3298.21,415.98,-67218.80
43,"Resources shall not continue thus similar, practical results. Practical words f",8,eing,-7321.85,917.45,-67218.80
43,"Resources shall not continue thus similar, practical results. Practical words f",13,pri,-5855.88,958.60,-67218.80
43,"Resources shall not continue thus similar, practical results. Practical words f",19,n st,-1918.44,1429.58,-67218.80
43,"Resources shall not continue thus similar, practical results. Practical words f",20,bar,53.88,390.69,-67218.80
43,"Resources shall not continue thus similar, practical results. Practical words f",22,able,573.50,351.50,-67218.80
43,"Resources shall not continue thus similar, practical results. Practical words f",32,able,-3082.86,156.02,-67218.80
44,So general leaves discover clinical things. Sales get ,7,ation,-3129.75,0.00,1233.13
44,So general leaves discover clinical things. Sales get ,8,eing,-584.80,372.61,1233.13
44,So general leaves discover clinical things. Sales get ,10,bar,-416.38,82.67,1233.13
44,So general leaves discover clinical things. Sales get ,14,ese,-2417.11,1809.34,1233.13
44,So general leaves discover clinical things. Sales get ,16,cally,-598.50,497.38,1233.13
44,So general leaves discover clinical things. Sales get ,19,n st,-429.83,306.41,1233.13
47,"Worldwide difficult shapes say reasonably too following times. Public, complete individuals may take for example civil, nea",4,ese,-77.22,156.37,-40624.40
47,"Worldwide difficult shapes say reasonably too following times. Public, complete individuals may take for example civil, nea",16,cally,-12351.86,160.89,-40624.40
49,Tonnes alter. Towns get schools,1,ought,55.44,198.03,-37866.36
49,Tonnes alter. Towns get schools,7,ation,-9871.96,367.57,-37866.36
49,Tonnes alter. Towns get schools,10,bar,-839.93,1058.39,-37866.36
49,Tonnes alter. Towns get schools,14,ese,-1126.95,513.50,-37866.36
49,Tonnes alter. Towns get schools,16,cally,228.36,120.18,-37866.36
49,Tonnes alter. Towns get schools,19,n st,-1801.96,155.71,-37866.36
49,Tonnes alter. Towns get schools,22,able,2177.30,295.47,-37866.36
49,Tonnes alter. Towns get schools,25,anti,-4285.26,177.90,-37866.36
49,Tonnes alter. Towns get schools,26,cally,357.28,205.84,-37866.36
49,Tonnes alter. Towns get schools,31,ought,-2589.13,1084.48,-37866.36
49,Tonnes alter. Towns get schools,32,able,-3654.02,2344.39,-37866.36
50,"Likely, main groups possess rich, interested cards; of course african me",1,ought,-4742.97,1235.08,-72053.91
50,"Likely, main groups possess rich, interested cards; of course african me",7,ation,-3375.60,86.64,-72053.91
50,"Likely, main groups possess rich, interested cards; of course african me",14,ese,-2162.38,61.34,-72053.91
