i_category,i_class,hierarchy_category,hierarchy_class,gross_profit_margin,rank
Home,mattresses,Home,mattresses,38123714.74,1
Home,lighting,Home,lighting,40495920.58,1
Home,kids,Home,kids,35041732.59,1
Home,glassware,Home,glassware,57094097.93,1
Home,furniture,Home,furniture,41250893.63,1
Home,flatware,Home,flatware,42963482.79,1
Home,decor,Home,decor,44216107.05,1
Home,curtains/drapes,Home,curtains/drapes,45638475.69,1
Home,blinds/shades,Home,blinds/shades,36331752.87,1
Home,bedding,Home,bedding,55841326.94,1
Home,bathroom,Home,bathroom,33805475.08,1
Home,accent,Home,accent,49421479.80,1
Home,,Home,NO CLASS,1647730.70,1
Electronics,wireless,Electronics,wireless,42293486.69,1
Electronics,televisions,Electronics,televisions,41610742.63,1
Electronics,stereo,Electronics,stereo,44533983.11,1
Electronics,scanners,Electronics,scanners,35954128.63,1
Electronics,portable,Electronics,portable,38891611.39,1
Electronics,personal,Electronics,personal,44477254.12,1
Electronics,musical,Electronics,musical,40588294.90,1
Electronics,monitors,Electronics,monitors,47709322.37,1
Electronics,memory,Electronics,memory,46631744.90,1
Electronics,karoke,Electronics,karoke,42974977.03,1
Electronics,dvd/vcr players,Electronics,dvd/vcr players,48217446.30,1
Electronics,disk drives,Electronics,disk drives,48056397.79,1
Electronics,cameras,Electronics,cameras,43413807.25,1
Electronics,camcorders,Electronics,camcorders,37554123.57,1
Electronics,automotive,Electronics,automotive,41457440.41,1
Electronics,audio,Electronics,audio,43338190.46,1
Electronics,,Electronics,NO CLASS,609413.29,1
Children,toddlers,Children,toddlers,175231278.68,1
Children,school-uniforms,Children,school-uniforms,176180025.27,1
Children,newborn,Children,newborn,170607338.45,1
Children,infants,Children,infants,161911499.32,1
Children,,Children,NO CLASS,501529.20,1
Books,travel,Books,travel,44912917.31,1
Books,sports,Books,sports,40201653.89,1
Books,self-help,Books,self-help,43177077.95,1
Books,science,Books,science,39075516.84,1
Books,romance,Books,romance,41667406.68,1
Books,reference,Books,reference,47903902.92,1
Books,parenting,Books,parenting,34693121.59,1
Books,mystery,Books,mystery,36035360.99,1
Books,home repair,Books,home repair,47982648.73,1
Books,history,Books,history,39722531.69,1
Books,fiction,Books,fiction,44692916.25,1
Books,entertainments,Books,entertainments,45686102.71,1
Books,cooking,Books,cooking,38363050.41,1
Books,computers,Books,computers,54194530.96,1
Books,business,Books,business,35270316.70,1
Books,arts,Books,arts,38426583.49,1
Books,,Books,NO CLASS,524571.91,1
