d_year,i_brand,i_class,i_category,i_manufact,sales_cnt,sales_cnt,sales_cnt_diff,sales_amt_diff
1999,corpbrand #2,rugs,Home,ationn stpri,17647,20397,-2750,-212620.10
1999,maxibrand #6,mattresses,Home,callyese,15536,18275,-2739,-190180.44
1999,importobrand #5,bedding,Home,n stableought,17759,20463,-2704,-279348.57
1999,importonameless #4,paint,Home,n steingn st,18721,21406,-2685,-292574.30
1999,exportibrand #9,kids,Home,barationese,16873,19557,-2684,-14318.96
1999,edu packnameless #9,glassware,Home,barbarought,18362,21044,-2682,-86248.74
1999,edu packbrand #4,curtains/drapes,Home,ableoughtpri,17052,19712,-2660,-213175.03
1999,corpnameless #3,furniture,Home,ationableation,18189,20847,-2658,-143799.14
1999,scholarnameless #8,tables,Home,eingeingable,19137,21760,-2623,-128068.61
1999,edu packbrand #9,curtains/drapes,Home,eseanti,15993,18614,-2621,-221893.10
1999,amalgbrand #5,bathroom,Home,pricallyeing,17869,20486,-2617,-85643.91
1999,scholarbrand #5,blinds/shades,Home,prieinganti,17371,19978,-2607,-91570.07
1999,namelessbrand #3,lighting,Home,eingn stese,18791,21358,-2567,-124505.43
1999,scholarnameless #5,tables,Home,ationantipri,17402,19965,-2563,-130158.61
1999,importonameless #5,paint,Home,esen stese,17522,20073,-2551,-257747.47
1999,edu packnameless #2,glassware,Home,antieseought,18681,21228,-2547,-101892.69
1999,edu packbrand #7,curtains/drapes,Home,eingeingable,18214,20756,-2542,-253138.37
1999,brandbrand #3,decor,Home,callyableable,18175,20712,-2537,-272125.13
1999,importonameless #1,paint,Home,prioughteing,17512,20007,-2495,-148582.28
1999,edu packnameless #4,glassware,Home,priableanti,18340,20833,-2493,-126918.76
1999,univnameless #3,flatware,Home,pribarable,16439,18925,-2486,-115580.58
1999,importobrand #7,bedding,Home,pribaranti,18263,20704,-2441,-247998.00
1999,edu packnameless #3,glassware,Home,callyeseought,17551,19988,-2437,6472.22
1999,importonameless #2,paint,Home,callycallyese,18262,20697,-2435,-210114.09
1999,edu packbrand #10,curtains/drapes,Home,ationable,17032,19460,-2428,-88489.30
1999,edu packbrand #10,curtains/drapes,Home,eingeseought,18529,20953,-2424,-31677.31
1999,univnameless #4,flatware,Home,oughtpripri,17630,20034,-2404,51891.04
1999,corpnameless #4,furniture,Home,ationation,17513,19891,-2378,-18150.49
1999,maxibrand #5,mattresses,Home,eseantically,19066,21404,-2338,-156110.04
1999,corpnameless #10,furniture,Home,ablepripri,17534,19854,-2320,26471.57
1999,univnameless #7,flatware,Home,priableought,17802,20116,-2314,-95917.18
1999,importobrand #6,bedding,Home,callyeingn st,17281,19592,-2311,-71408.39
1999,univnameless #7,flatware,Home,priationeing,17711,20004,-2293,-76792.78
1999,scholarbrand #9,blinds/shades,Home,ableesecally,18510,20788,-2278,-98817.98
1999,importobrand #2,bedding,Home,antin stought,16839,19104,-2265,-89810.39
1999,corpnameless #9,furniture,Home,eingpriable,18926,21190,-2264,-119898.44
1999,corpnameless #6,furniture,Home,ationcally,17467,19728,-2261,-8653.68
1999,importobrand #3,bedding,Home,antiought,18282,20533,-2251,-68931.33
1999,importobrand #7,bedding,Home,antibarought,17539,19785,-2246,-219516.35
1999,scholarbrand #8,blinds/shades,Home,ableeingpri,17028,19271,-2243,-100570.48
1999,importobrand #3,bedding,Home,ationn stable,17597,19817,-2220,19824.78
1999,maxibrand #10,mattresses,Home,antioughtpri,19242,21440,-2198,-116140.13
