reason_description,marital_status,education_status,state,sales_profit_range,average_sales_quantity,average_refunded_cash,average_return_fee
Did not fit,W,4 yr Degree,CT,100-200,4.0,143.28,64.73
Did not fit,S,Secondary,WV,150-300,4.0,340.18,26.23
Did not fit,S,Unknown,WA,50-250,4.0,522.17,77.98
Did not fit,D,Unknown,AL,50-250,4.0,531.53,46.67
Did not fit,S,Secondary,NJ,100-200,4.0,724.32,34.91
Did not fit,D,Advanced Degree,WY,50-250,4.0,1221.05,23.515
Did not fit,U,Secondary,DE,150-300,4.0,2595.9,13.78
Did not fit,D,Secondary,AZ,100-200,4.0,4741.05,11.72
Did not fit,W,Unknown,MN,50-250,4.25,452.54,47.005
Did not fit,W,Advanced Degree,CT,50-250,4.5,95.01,60.125
Did not fit,W,Secondary,NM,100-200,4.5,151.64,58.415
Did not fit,W,Unknown,NJ,50-250,4.5,156.94,8.575
Did not fit,S,Secondary,WV,100-200,4.5,614.885,37.775
Did not fit,D,2 yr Degree,WA,50-250,5.0,7.43,77.86
Did not fit,W,Primary,UT,50-250,5.0,21.895,78.755
Did not fit,U,Secondary,,100-200,5.0,24.59,57.35
Did not fit,S,Advanced Degree,MA,50-250,5.0,28.13,80.93
Did not fit,M,Secondary,ME,100-200,5.0,40.81,68.46
Did not fit,W,4 yr Degree,WY,100-200,5.0,44.96,96.36
Did not fit,M,Unknown,DE,50-250,5.0,58.22,15.61
Did not fit,S,Unknown,AZ,50-250,5.0,77.84,3.47
Did not fit,M,2 yr Degree,OR,50-250,5.0,221.07,23.11
Did not fit,U,Secondary,OR,50-250,5.0,592.22,90.72
Did not fit,U,Advanced Degree,NM,50-250,5.0,1412.46,11.32
Did not fit,U,Unknown,TN,50-250,5.5,4468.65,67.655
Did not fit,M,Unknown,VT,100-200,6.0,11.56,75.05
Did not fit,U,Unknown,NV,50-250,6.0,30.97,23.5
Did not fit,D,College,MA,50-250,6.0,111.26,51.19
Did not fit,S,Unknown,OR,50-250,6.0,116.58,51.145
Did not fit,W,4 yr Degree,UT,50-250,6.0,153.05,87.06
Did not fit,M,Advanced Degree,OK,150-300,6.0,157.035,40.51
Did not fit,M,2 yr Degree,NM,50-250,6.0,202.4,10.65
Did not fit,W,College,NV,150-300,6.0,249.09,61.68
Did not fit,D,Secondary,DE,150-300,6.0,615.73,23.03
Did not fit,W,2 yr Degree,CT,150-300,6.0,1197.82,48.56
Did not fit,W,Unknown,WY,50-250,6.0,4813.52,40.55
Did not fit,D,Advanced Degree,ME,100-200,6.0,10654.33,31.72
Did not fit,W,4 yr Degree,AR,50-250,6.333333333333333,149.94333333333333,41.836666666666666
Did not fit,M,Secondary,NJ,50-250,6.333333333333333,262.05333333333334,14.433333333333334
Did not fit,S,2 yr Degree,NH,150-300,6.5,70.71,15.695
Did not fit,U,2 yr Degree,AL,50-250,6.5,94.22,23.575
Did not fit,D,Advanced Degree,AK,50-250,6.5,157.105,51.895
Did not fit,M,2 yr Degree,OR,150-300,6.5,296.255,52.545
Did not fit,S,Advanced Degree,AK,100-200,6.5,811.71,87.09
Did not fit,D,4 yr Degree,WY,100-200,6.75,154.2875,58.32
Did not fit,U,Advanced Degree,NV,100-200,7.0,0.09,
Did not fit,D,Unknown,UT,50-250,7.0,8.18,12.68
Did not fit,U,4 yr Degree,MD,100-200,7.0,20.15,13.61
Did not fit,D,Unknown,SC,50-250,7.0,23.67,50.74
Did not fit,D,4 yr Degree,WY,150-300,7.0,27.98,59.47
Did not fit,D,Secondary,MA,50-250,7.0,36.45,99.33
Did not fit,U,4 yr Degree,AK,100-200,7.0,54.31,28.06
Did not fit,U,Advanced Degree,ID,50-250,7.0,61.17,64.8
Did not fit,S,College,HI,150-300,7.0,156.49,2.7
Did not fit,U,4 yr Degree,NJ,100-200,7.0,157.29,68.74
Did not fit,W,4 yr Degree,WA,150-300,7.0,172.67,42.18
Did not fit,D,4 yr Degree,MD,100-200,7.0,241.18,43.9
