i_item_sk,i_item_desc,i_category,i_class,i_current_price,item_class_revenue,total_revenue,revenue_ratio
5760,"Managerial, long sides coincide thus toxic, public companies. Meanwhile french schools examine a little simple experiments. Early different reasons can mean i",Books,business,1.39,1364.74,16120747.15,8.465736651666297e-05
5883,Personal wives dry usually specific d,Books,business,9.42,732.32,16120747.15,4.542717488128334e-05
6222,"American, strong a",Books,business,9.80,1554.52,16120747.15,9.642977372795032e-05
6721,"Political jobs might look informally in a officials. Roman, white scenes afford limited records; national ideas leave today ba",Books,business,87.45,1272.46,16120747.15,7.893306607690326e-05
7656,"Main, experienced stairs appear even never visible designs. Measures would move only on a results. More special interests ought to depend ther",Books,business,5.83,1990.92,16120747.15,0.00012350047931866483
8065,"National, famous weeks become just sufficient women. Humans allow there things.",Books,business,2.57,1180.18,16120747.15,7.320876563714356e-05
8353,"Important, horrible figures may spill single women. Large, used team",Books,business,5.25,948.46,16120747.15,5.8834742036134476e-05
8970,"More concerned benefits can attend again main, entire cars. Complex, common buildings obtain extra with a alternatives. Acids make almost national items. Basic notes can help both only l",Books,business,0.92,1502.12,16120747.15,9.317930403740622e-05
9211,Most extre,Books,business,4.12,1088.53,16120747.15,6.752354527190757e-05
9345,National evenings see so minutes. Effective eyes might depend withi,Books,business,0.15,1374.02,16120747.15,8.523302221758375e-05
9936,"Front, sorry weapons will enjoy in t",Books,business,46.36,1375.66,16120747.15,8.533475447507407e-05
10107,"High, statutory times can win either political months. Problems want faces. Polic",Books,business,2.81,990.64,16120747.15,6.145124607329381e-05
10597,"Repeatedly official users come shoulders. Independent, bri",Books,business,8.59,1096.01,16120747.15,6.798754361704631e-05
10831,Wealthy patterns could lov,Books,business,4.67,1060.06,16120747.15,6.57574980946215e-05
10974,"Good, small points protect; fingers would sell characteristically different, different elections. Good experiments can come particularly conflicts. Pains would no",Books,business,4.41,1420.21,16120747.15,8.809827403067978e-05
11199,"A little developing things sustain dark, random numbers; buildings can get also from a teeth; great, bottom hotels shoul",Books,business,8.93,1567.95,16120747.15,9.726286166581305e-05
